candidate,source,line_hash,observed_word,canonical_target_tokens,baseline_rank_at3,expanded_rank_at3,baseline_covered,expanded_covered,gain,loss,baseline_first,baseline_second,baseline_third,expanded_first,expanded_second,expanded_third,baseline_target_log_score,expanded_target_log_score,synthetic_choice_correct
beam16,blogs,4fa51bc0c1b02034bdb1df933a425132e50b1ef4b2e220c59246e505259a155d,play,1,0,0,True,True,False,False,buy,pick,get,buy,pick,get,-6.953029632568359,-6.953029632568359,True
beam16,blogs,87703f578d107598a2725d083dfc3a339627f2658c3243a1f7910e2c2b7f0501,to,1,1,1,True,True,False,False,to,a,him,to,a,him,-0.3018074035644531,-0.3018074035644531,True
beam16,blogs,505cc962398c4f58cdce51751d33d9a9312d4e6151a0d7361e107f47d6d6725f,the,1,2,2,True,True,False,False,us,the,you,us,the,you,-1.8001899719238281,-1.8001899719238281,True
beam16,blogs,373124b683bdbbc628b91de7d50ec55d4c2efeae0538fd5cccc87a951206851e,home,1,1,1,True,True,False,False,home,it,the,home,it,the,-0.6612739562988281,-0.6612739562988281,True
beam16,blogs,2c174ff7aaa96c988acb58d269a7d69ddb6f5678d88c9dab6a7c7aa14a1d52c4,kept,1,0,0,True,True,False,False,inspired,influenced,been,inspired,influenced,been,-5.554649353027344,-5.554649353027344,True
beam16,blogs,89485652731c1459fcf9770dd395c38f52ae937ede6634e8ec39649d7a7605ea,the,1,1,1,True,True,False,False,the,our,a,the,our,a,-0.9459037780761719,-0.9459037780761719,True
beam16,blogs,e14aa8b6dbd52e5953c8a638d25531456366aadefa519a963c3010f8bb2e00ec,claw,1,0,0,False,False,False,False,again,to,and,again,to,and,,,False
beam16,blogs,23313e8a987038c66c4c840fa185464c02402e3968cc9f3acfa2ecff203f028f,strategy,1,0,0,True,True,False,False,political,policies,timing,political,policies,timing,-4.095439910888672,-4.095439910888672,True
beam16,blogs,c0df6e451d58ab6a9daeead9555a540d473d2df73c8230b4aef811566a0c1150,skin,1,1,1,True,True,False,False,skin,flesh,and,skin,flesh,and,-1.3621273040771484,-1.3621273040771484,True
beam16,blogs,91f8175458019d6671ba991e3b71ad83efa9a8d90baa99957e5d4135700c45f3,at,1,0,0,True,True,False,False,and,with,the,and,with,the,-4.327949523925781,-4.327949523925781,True
beam16,blogs,4d18441663b30e262f8cb3af4b5eba988d93a178eda37f601087ae3ab1667803,so,1,2,2,True,True,False,False,and,so,to,and,so,to,-2.0766029357910156,-2.0766029357910156,True
beam16,blogs,a1f67b56c49ea302c12ee2bc6e38c8ca1c7c5627040d118cbe149393ef636489,when,1,0,0,False,False,False,False,is,has,ran,is,has,ran,,,False
beam16,blogs,5d4ebb964c5ba935c95aa8587baff7c6a03530bad51faabaf089d1e011352bad,you,1,1,1,True,True,False,False,you,i,you're,you,i,you're,-0.9798622131347656,-0.9798622131347656,True
beam16,blogs,56f6232596fd4adec720a18b09f8f7eefe96719564c95bc3e7b14d699937c0c4,merits,1,0,0,True,True,False,False,importance,history,future,importance,history,future,-6.260505676269531,-6.260505676269531,True
beam16,blogs,1e72969fb7ef9661dc3062409664d0189f2cadb26bf899aa846f2ce72e2896ff,the,1,1,1,True,True,False,False,the,even,at,the,even,at,-0.4104156494140625,-0.4104156494140625,True
beam16,blogs,5b4dae0b73608b4379c844fc75b6a821e345ae2c83586be2cee5e8ed27e2f63d,final,1,0,0,True,True,False,False,the,other,halo,the,other,halo,-5.273738861083984,-5.273738861083984,True
beam16,blogs,4fad97131804d3cc10d220b4142668868a38d6d509ba03a177600b108f21bee4,this,1,1,1,True,True,False,False,this,his,the,this,his,the,-1.4251174926757812,-1.4251174926757812,True
beam16,blogs,e3ac5a7c161b73c815455dc4afbf87ea6c5d3dbc2e4660321cbdb475477a3b8a,energy,1,1,1,True,True,False,False,energy,motivation,interest,energy,motivation,interest,-2.571043014526367,-2.571043014526367,True
beam16,blogs,dfd22abf5c01910d0535ebc77194e435ef245c32ee0345bfd98c17c0c890a695,heroic,1,0,0,False,False,False,False,the,i,it,the,i,it,,,True
beam16,blogs,139064844a067b2f813ec2b09f8b9385804a60d8ce7af84f3bc9f6af71187c02,bolt,1,0,0,False,False,False,False,want,realize,feel,want,realize,feel,,,False
beam16,blogs,d0f21a08394965733cf463ad4efa1f4fcdcc8d0071e3ea6238e7614e1a9cc392,there,1,0,0,True,True,False,False,ready,grateful,thankful,ready,grateful,thankful,-4.245952606201172,-4.245952606201172,True
beam16,blogs,e82f4987d92ccd1a3267ec930ccbb46edbbf9d7dc26f227ab80da699e8c96991,the,1,1,1,True,True,False,False,the,a,my,the,a,my,-0.8192367553710938,-0.8192367553710938,True
beam16,blogs,3df96d0e47a0cfda50e835195e6b3dbfb6fc1e4272930c7bcc906a6509db2568,could,1,0,0,True,True,False,False,was,had,would,was,had,would,-3.6625728607177734,-3.6625728607177734,True
beam16,blogs,552c337166816a9a40ae5b761d764b304d1726610a39e8a299de8a7573fdd4d4,self,1,0,0,False,False,False,False,ill,sick,obese,ill,sick,obese,,,False
beam16,blogs,cf5e2fdc13f4f979098019ad28e73dc5ed66ce9be029735d4eeb746ff2a32646,windy,1,0,0,True,True,False,False,day,afternoon,friday,day,afternoon,friday,-8.214557647705078,-8.214557647705078,True
beam16,blogs,208e5b36d6878085715a3c987a09b7516b2020eda23f7fc15437b08ed04169b9,his,1,0,0,True,True,False,False,i,the,it's,i,the,it's,-7.128292083740234,-7.128292083740234,False
beam16,blogs,b5a803df46805f6c1d9aace860dca54b063296e2d7efccc90a765d42d29df4e4,fat,1,1,1,True,True,False,False,fat,cholesterol,calories,fat,lactose,cholesterol,-0.8980941772460938,-0.8980941772460938,True
beam16,blogs,01082c4ccef62301bd2634ccfc1a7ba2a829aeb1c731f372c0c94687490d068d,be,1,3,3,True,True,False,False,do,the,be,do,the,be,-2.2770309448242188,-2.2770309448242188,True
beam16,blogs,80ec510ff7a79b0c0276b9868a817b38c47a51749d3e07e47b2ef73f4e55bc87,to,1,1,1,True,True,False,False,to,running,into,to,running,into,-2.1808395385742188,-2.1808395385742188,True
beam16,blogs,80cca2cb35ec1ad8f63b15c5dcdc4cec74d851f3ad362d885bfc4d722fe638e1,must,1,0,0,True,True,False,False,should,can,need,should,can,need,-3.768035888671875,-3.768035888671875,True
beam16,blogs,8d16d32350d3cf167212da43407faa251fb924607c399ff08ebd4f6f43172160,out,1,1,1,True,True,False,False,out,to,for,out,to,for,-0.8973197937011719,-0.8973197937011719,True
beam16,blogs,d3b6a970b0ca95f8d26168407e9df8f6e1e4d8343098d5dd95c3de27eb927d79,cooking,1,0,0,True,True,False,False,done,still,burning,done,still,burning,-4.897455215454102,-4.897455215454102,True
beam16,blogs,0c5f74edafebe249ed84ad8c37a0eb3c61680115e7a61e4f61c3be11dba2abe6,bellies,2,0,0,False,False,False,False,stars,of,days,stars,of,days,,,True
beam16,blogs,6e259fe4bf39c0ed3aea1725e4118dc423bd3a35917d32f27f6f18c5ecb3b79d,or,1,0,0,True,True,False,False,the,your,it,the,your,it,-3.871511459350586,-3.871511459350586,True
beam16,blogs,eddd674d0c5746592f69bf175f2d5a6df97118aff3ab868b0c170569f2e68d3c,the,1,0,0,True,True,False,False,she,i,we,she,i,we,-2.4651222229003906,-2.4651222229003906,True
beam16,blogs,3fe1e786074048ab534b4a017e43cc2f3b03de4e4f72847c7152643e657559fd,and,1,1,1,True,True,False,False,and,who,handling,and,who,handling,-1.4448089599609375,-1.4448089599609375,True
beam16,blogs,c1d296a899e09ac436d5c6adfd2f8399c1e382f3332c299924712b733839e425,be,1,1,1,True,True,False,False,be,choose,want,be,choose,want,-0.4282569885253906,-0.4282569885253906,True
beam16,blogs,3f3194c96243d68556bcd1121fd3def5458ef4323ee53212b8f824c88434898d,pristine,1,0,0,True,True,False,False,good,nice,pretty,good,nice,pretty,-7.712711334228516,-7.712711334228516,True
beam16,blogs,1a3a5cd5277e82b1f99ad2427ad0c25e8d05cead435fa5f9099f6a8235a35311,items,1,0,0,True,True,False,False,than,things,to,than,things,to,-7.389841079711914,-7.389841079711914,True
beam16,blogs,6c9f58656d2c023397a6326106db662196f7c832fdb03fa2e2690d25e0dd25f4,depending,1,0,0,False,False,False,False,as,a,up,as,a,up,,,True
beam16,blogs,660418786e54f21db6b5360b92650040a64385cc5db62c7ecaf997507f5ddc19,in,1,0,0,True,True,False,False,a,the,an,a,the,an,-5.519929885864258,-5.519929885864258,True
beam16,blogs,c8076e59dab9e7eb2c7e68245c54985fcd823ae5357800f3866e3ea35412fb21,it,1,0,0,True,True,False,False,the,what,whatever,the,what,whatever,-4.250213623046875,-4.250213623046875,True
beam16,blogs,3eef8d2357b965bedb08b8e4aa3d61ac67b57dcc65960b4c6e74ae3fcf3c462c,story,1,0,0,False,False,False,False,strengths,other,best,strengths,other,best,,,True
beam16,blogs,e3869e16ebd74e607ffc4ec9b11319c0260b12e28e915670b2944d523311c357,basic,1,0,0,True,True,False,False,for,the,to,for,the,to,-12.061019897460938,-12.061019897460938,True
beam16,blogs,b8e03b02aa7d9586069fef7ab727748ed39fa3c1e6970cf8a764d73989ad7651,a,1,2,2,True,True,False,False,night,a,all,night,a,all,-1.6035690307617188,-1.6035690307617188,True
beam16,blogs,d53c086c650864f9b72a30a1ff64d46b206fb14abcd467bf3d078bd1823cf250,a,1,0,0,True,True,False,False,the,its,she,the,its,she,-6.702299118041992,-6.702299118041992,True
beam16,blogs,747269650a0627f8eedf01a4ab66171ed14a11d9c117afb005c3adbbd8baf229,of,1,1,1,True,True,False,False,of,from,in,of,from,in,-0.028186798095703125,-0.028186798095703125,True
beam16,blogs,64515c0e0771055078440860f14f6fa762b792f3e6eecc4ce812c772b4c3ecc9,given,1,0,0,True,True,False,False,ever,heard,seen,ever,heard,seen,-6.478017807006836,-6.478017807006836,True
beam16,blogs,228d8d81711f4105ac2ac2d44e15f3eadd5e98bb8e69fa0dfac85d7e15aac377,shall,1,0,0,True,True,False,False,for,is,of,for,is,of,-5.834323883056641,-5.834323883056641,True
beam16,blogs,67b96614d9ef3692d9a8b2a5d12f566d141060afbb248c74325a6438ca7e92ac,though,1,3,3,True,True,False,False,if,better,though,if,better,though,-1.6461219787597656,-1.6461219787597656,True
beam16,blogs,15d47696fd759de4df8b502fc8dec1ab8a9aa1d0434fc5f9ccd4cc4331e1a9c9,palette,1,0,0,True,True,False,False,flowers,collections,collection,flowers,collections,collection,-6.780208587646484,-6.780208587646484,True
beam16,blogs,8e77d68f9e0cec74beaf52551da9f1ee0ac27de99e7d26111d60870c38ecafdc,to,1,1,1,True,True,False,False,to,not,for,to,not,for,-0.04416656494140625,-0.04416656494140625,True
beam16,blogs,71717d97e146a87a4ad54bdc12ff6aec6ff5e8fc0b548d4b432f9a37a4351cac,that,1,0,0,True,True,False,False,to,a,the,to,a,the,-5.026210784912109,-5.026210784912109,False
beam16,blogs,5fbfff80159fc233ae5941b03a78c6396427cfbc1dc39db21df4c002c708a6ee,he,1,0,0,True,True,False,False,and,shut,i,and,shut,i,-5.720485687255859,-5.720485687255859,True
beam16,blogs,60f5b6dd26dcb4d2b38b3cc5ace6e0d096ee1c4a7b11235ab63c58d812da6eca,a,1,2,2,True,True,False,False,the,a,god,the,a,god,-2.926982879638672,-2.926982879638672,True
beam16,blogs,f82cb22c7750724e6ce4a8fb5e73a1c6554a82b773e7393bc97bc69bee26c195,spiritual,1,0,0,True,True,False,False,the,a,love,the,a,love,-7.559764862060547,-7.559764862060547,True
beam16,blogs,bbb2679d7422230098b84837532695f67fa3bda5da6d68ec66f1b8b6e14b33d2,importantly,1,1,1,True,True,False,False,importantly,than,important,importantly,than,important,-1.3377227783203125,-1.3377227783203125,True
beam16,blogs,4e35c15a0e50f68026a6f2d7087cd3425a7bb152a7b76df29c7ccdad9ec05b42,his,1,2,2,True,True,False,False,the,his,a,the,his,a,-1.639272689819336,-1.639272689819336,True
beam16,blogs,54a21fcb7e08faf38b84519c1274f0ed2f77008b84e2b7ced8078c33c20f05c0,low,1,1,1,True,True,False,False,low,medium,a,low,medium,a,-0.8368415832519531,-0.8368415832519531,True
beam16,blogs,68f3ef14ad81d7ea2eaee804d9bf56a9509754664aaf3d70044157aa76b82216,chose,1,0,0,True,True,False,False,had,was,bought,had,was,bought,-5.60841178894043,-5.60841178894043,False
beam16,blogs,9de2146b2324b4f18639dcaaaa8983fda3fb60b137eb1106cdf48edbdc28ac4d,in,1,1,1,True,True,False,False,in,the,there,in,the,there,-2.102987289428711,-2.102987289428711,True
beam16,blogs,7648bfae462ec9dc72228dc441e4da74ee22436e08eb3cad27254b8183e616c1,blog,1,0,0,True,True,False,False,time,post,year,time,post,year,-3.621112823486328,-3.621112823486328,True
beam16,blogs,29084e6c285fbfb71dbced723e9126f75cc715afea1357b65e60127cf7ad4344,of,1,1,1,True,True,False,False,of,in,that,of,in,that,-0.3438453674316406,-0.3438453674316406,True
beam16,blogs,0a1bd48bc30578a425a2a7b104e2e03a990bc865f7153c55c75175ae671b3a5b,sticks,1,1,1,True,True,False,False,sticks,stick,in,sticks,stick,in,-0.15274810791015625,-0.15274810791015625,True
beam16,blogs,80b5425a45519af3e41502abbf213b06f10492a308558bc86433367d3f00cd78,even,1,2,2,True,True,False,False,a,even,an,a,even,an,-1.7416496276855469,-1.7416496276855469,True
beam16,blogs,caf58f916d69373c539255725a23c26b9117db442535eccbd7fa5b4d1bd63001,am,1,0,0,True,True,False,False,middle,night,dark,middle,night,dark,-9.200248718261719,-9.200248718261719,True
beam16,blogs,84547d6e6ed39c5f8d7f194f08fa335a0a8dd7c23dd7e7861364139c3784e97c,to,1,0,0,True,True,False,False,is,about,for,is,about,for,-6.528556823730469,-6.528556823730469,True
beam16,blogs,e22c083acd2d8453f04390223da20ee8a106446e9065e348f11c2521d9908c6d,british,1,0,0,True,True,False,False,flavour,the,flavours,flavour,the,flavours,-7.433126449584961,-7.433126449584961,True
beam16,blogs,71f0b5dd2ffcda2cc47dac4883f95054ce6540145e8a21945b26a410c2ad0261,are,1,1,1,True,True,False,False,are,in,of,are,in,of,-1.1640663146972656,-1.1640663146972656,True
