candidate,source,line_hash,observed_word,canonical_target_tokens,baseline_rank_at3,expanded_rank_at3,baseline_covered,expanded_covered,gain,loss,baseline_first,baseline_second,baseline_third,expanded_first,expanded_second,expanded_third,baseline_target_log_score,expanded_target_log_score,synthetic_choice_correct
beam16,blogs,f27ea2d29c7104c919b3db28c6665a75f06509e20abfce2a096f6bd7fdee17a5,back,1,0,0,True,True,False,False,to,home,out,to,home,out,-3.4468841552734375,-3.4468841552734375,True
beam64,blogs,f27ea2d29c7104c919b3db28c6665a75f06509e20abfce2a096f6bd7fdee17a5,back,1,0,0,True,True,False,False,to,home,out,to,home,out,-3.4468841552734375,-3.4468841552734375,True
beam16,blogs,2e33f63c7626dbc369773847be674268e62ff845811d0f1a707abb82d030fda8,movie,1,0,0,True,True,False,False,of,to,and,of,to,and,-7.215431213378906,-7.215431213378906,True
beam64,blogs,2e33f63c7626dbc369773847be674268e62ff845811d0f1a707abb82d030fda8,movie,1,0,0,True,True,False,False,of,to,and,of,to,and,-7.215431213378906,-7.215431213378906,True
beam16,blogs,3a5c23d72140c92c25f4fbd08b9ac0feecee320dc88c6ee630121fbb1dc7ba3f,you,1,1,1,True,True,False,False,you,i,it,you,i,it,-0.5283241271972656,-0.5283241271972656,True
beam64,blogs,3a5c23d72140c92c25f4fbd08b9ac0feecee320dc88c6ee630121fbb1dc7ba3f,you,1,1,1,True,True,False,False,you,i,it,you,i,it,-0.5283241271972656,-0.5283241271972656,True
beam16,blogs,150f418fb152be9cb918f6a5cddb03c13ba3de68e7a2ad474b9d73f9888b10db,this,1,0,0,True,True,False,False,it,we,the,it,we,the,-3.7588539123535156,-3.7588539123535156,True
beam64,blogs,150f418fb152be9cb918f6a5cddb03c13ba3de68e7a2ad474b9d73f9888b10db,this,1,0,0,True,True,False,False,it,we,the,it,we,the,-3.7588539123535156,-3.7588539123535156,True
beam16,blogs,379382c7ed6229fb6a69c6e7589b03d3240417a25dc4be8d5bfa25a7d0e6a114,with,1,1,1,True,True,False,False,with,and,a,with,and,a,-0.27831268310546875,-0.27831268310546875,True
beam64,blogs,379382c7ed6229fb6a69c6e7589b03d3240417a25dc4be8d5bfa25a7d0e6a114,with,1,1,1,True,True,False,False,with,and,a,with,and,a,-0.27831268310546875,-0.27831268310546875,True
beam16,blogs,1a3d0e172a1fcc90d98522daac9c53c1add1ae3f5e1b59bfafdbaf7f15ea7e13,or,1,0,0,True,True,False,False,to,you,in,to,you,in,-3.420330047607422,-3.420330047607422,True
beam64,blogs,1a3d0e172a1fcc90d98522daac9c53c1add1ae3f5e1b59bfafdbaf7f15ea7e13,or,1,0,0,True,True,False,False,to,you,in,to,you,in,-3.420330047607422,-3.420330047607422,True
beam16,blogs,b1bdb15784994402f4445749c82f4d5fa4972fe0ae3f775cd198f3db707ed5c7,vendor,1,0,0,True,True,False,False,member,certified,part,member,certified,part,-7.746305465698242,-7.746305465698242,True
beam64,blogs,b1bdb15784994402f4445749c82f4d5fa4972fe0ae3f775cd198f3db707ed5c7,vendor,1,0,0,True,True,False,False,member,certified,part,member,certified,part,-7.746305465698242,-7.746305465698242,True
beam16,blogs,75ec673b2b31cde02d81eb99e409f3c60f43ed1afdb8d3477a01196e43e64dc7,there,1,0,0,True,True,False,False,i,the,i'm,i,the,i'm,-3.585308074951172,-3.585308074951172,True
beam64,blogs,75ec673b2b31cde02d81eb99e409f3c60f43ed1afdb8d3477a01196e43e64dc7,there,1,0,0,True,True,False,False,i,the,i'm,i,the,i'm,-3.585308074951172,-3.585308074951172,True
beam16,blogs,640a825583d8a72a7cd2175016d14e07d28d2bdd55709dbc8634270dfaec9da5,checkmark,2,0,0,False,False,False,False,on,to,the,on,to,the,,,True
beam64,blogs,640a825583d8a72a7cd2175016d14e07d28d2bdd55709dbc8634270dfaec9da5,checkmark,2,0,0,False,False,False,False,on,to,the,on,to,the,,,True
beam16,blogs,91507145be5cf1fad2815adf342860b6bdac455d8db048b0374aa8c35cea72ae,recommend,1,1,1,True,True,False,False,recommend,think,want,recommend,think,want,-1.3796615600585938,-1.3796615600585938,True
beam64,blogs,91507145be5cf1fad2815adf342860b6bdac455d8db048b0374aa8c35cea72ae,recommend,1,1,1,True,True,False,False,recommend,think,want,recommend,think,want,-1.3796615600585938,-1.3796615600585938,True
beam16,blogs,b72474f50716169e9748a2eb8e76b7ab5e47c06dda75b8e74db7920d216f09bc,daisy,2,0,0,False,False,False,False,the,us,or,the,us,or,,,True
beam64,blogs,b72474f50716169e9748a2eb8e76b7ab5e47c06dda75b8e74db7920d216f09bc,daisy,2,0,0,False,False,False,False,the,us,or,the,us,or,,,True
beam16,blogs,4e8895ae50463f9bb1588854743dfddeff57c6d568879614efeb3e276882ab37,it,1,0,0,True,True,False,False,cream,up,smart,cream,up,smart,-3.7481250762939453,-3.7481250762939453,True
beam64,blogs,4e8895ae50463f9bb1588854743dfddeff57c6d568879614efeb3e276882ab37,it,1,0,0,True,True,False,False,cream,up,smart,cream,up,smart,-3.7481250762939453,-3.7481250762939453,True
beam16,blogs,8334b4540dfa719754aa0de65ed2e2986c1843ed87663872cd9a57a7753146d8,on,1,0,0,True,True,False,False,of,has,is,of,has,is,-3.188488006591797,-3.188488006591797,True
beam64,blogs,8334b4540dfa719754aa0de65ed2e2986c1843ed87663872cd9a57a7753146d8,on,1,0,0,True,True,False,False,of,has,is,of,has,is,-3.188488006591797,-3.188488006591797,True
beam16,blogs,c32c3e1300b8358f8bf7ec24bd106bbef01d3579e2c273272d5efc7b145fa792,a,1,0,0,True,True,False,False,the,your,it,the,your,it,-3.0756492614746094,-3.0756492614746094,False
beam64,blogs,c32c3e1300b8358f8bf7ec24bd106bbef01d3579e2c273272d5efc7b145fa792,a,1,0,0,True,True,False,False,the,your,it,the,your,it,-3.0756492614746094,-3.0756492614746094,False
beam16,blogs,41b8bc114e6a873a647502ff550d0b54a9f7fdb2fdb10bff657a8df21d400073,project,1,0,0,False,False,False,False,friends,hearts,to,friends,hearts,to,,,False
beam64,blogs,41b8bc114e6a873a647502ff550d0b54a9f7fdb2fdb10bff657a8df21d400073,project,1,0,0,False,False,False,False,friends,hearts,to,friends,hearts,to,,,False
beam16,blogs,b57186493fa3a2c547d996aa77e54272d923628b38b4516aea24441809f9338e,could,1,0,0,True,True,False,False,is,fees,will,is,fees,will,-5.935464859008789,-5.935464859008789,True
beam64,blogs,b57186493fa3a2c547d996aa77e54272d923628b38b4516aea24441809f9338e,could,1,0,0,True,True,False,False,is,fees,will,is,fees,will,-5.935464859008789,-5.935464859008789,True
beam16,blogs,6fda27b4519c3b1f949aa789fafd4633a2f4715428108f635f869b6f6abb47e4,jake's,3,0,0,False,True,False,False,our,my,the,our,my,the,,-10.567070007324219,True
